Nom,Type,Attribut,ATK,DEF,Niveau
Abyss-sting Triaina,Spell Card,,,,
Abyss-strom,Trap Card,,,,
Abyss-team,Trap Card,,,,
Abyssal Designator,Spell Card,,,,
Abyssal Kingshark,Effect Monster,WATER,1700,600,4
"Abyssrhine, the Atlantean Spirit",Effect Monster,WATER,1600,1600,3
Accellight,Spell Card,,,,
Accumulated Fortune,Trap Card,,,,
Achacha Archer,Effect Monster,FIRE,1200,600,3
Achacha Chanbara,Effect Monster,FIRE,1400,400,3
Achichi @Ignister,Effect Monster,FIRE,800,800,2
Acid Crawler,Normal Monster,EARTH,900,700,3
Acid Rain,Spell Card,,,,
Acid Trap Hole,Trap Card,,,,
Acidic Downpour,Spell Card,,,,
Acorno,Effect Monster,EARTH,200,400,1
Acrobat Monkey,Normal Monster,EARTH,1000,1800,3
Action Magic - Double Banking,Spell Card,,,,
Action Magic - Full Turn,Spell Card,,,,
Ad Libitum of Despia,Effect Monster,DARK,1500,2000,8
Adamancipator Crystal - Dragite,Effect Monster,WATER,0,2200,4
Adamancipator Crystal - Leonite,Effect Monster,FIRE,0,2200,4
Adamancipator Crystal - Raptite,Effect Monster,WIND,0,2200,4
Adamancipator Friends,Spell Card,,,,
Adamancipator Laputite,Spell Card,,,,
Adamancipator Relief,Trap Card,,,,
Adamancipator Resonance,Trap Card,,,,
Adamancipator Signs,Spell Card,,,,
Additional Mirror Level 7,Spell Card,,,,
Adhesion Trap Hole,Trap Card,,,,
Adhesive Explosive,Effect Monster,WIND,1000,1000,3
Adularia of the June Moon,Effect Monster,WATER,1000,1000,5
Advance Draw,Spell Card,,,,
Advance Force,Spell Card,,,,
Advance Zone,Spell Card,,,,
Advanced Crystal Beast Amber Mammoth,Effect Monster,EARTH,1700,1600,4
Advanced Crystal Beast Amethyst Cat,Effect Monster,EARTH,1200,400,3
Advanced Crystal Beast Cobalt Eagle,Effect Monster,WIND,1400,800,4
Advanced Crystal Beast Emerald Tortoise,Effect Monster,WATER,600,2000,3
Advanced Crystal Beast Ruby Carbuncle,Effect Monster,LIGHT,300,300,3
Advanced Crystal Beast Sapphire Pegasus,Effect Monster,WIND,1800,1200,4
Advanced Crystal Beast Topaz Tiger,Effect Monster,EARTH,1600,1000,4
Advanced Dark,Spell Card,,,,
Advanced Heraldry Art,Spell Card,,,,
Advanced Ritual Art,Spell Card,,,,
Aegis of Gaia,Trap Card,,,,
Aegis of the Ocean Dragon Lord,Trap Card,,,,
Aerial Recharge,Trap Card,,,,
"Aether, the Empowering Dragon",Effect Monster,LIGHT,2300,1600,6
After the Storm,Spell Card,,,,
After the Struggle,Spell Card,,,,
Afterglow,Spell Card,,,,
Against the Wind,Spell Card,,,,
Ages of Stars and Frost,Spell Card,,,,
Agido,Effect Monster,EARTH,1500,1300,4
Agido the Ancient Sentinel,Effect Monster,EARTH,1500,1300,4
"Ahrima, the Wicked Warden",Effect Monster,DARK,1700,0,4
Aileron,Effect Monster,WIND,0,0,1
Air Armor Ninja,Effect Monster,WIND,1400,1400,4
Air Cracking Storm,Spell Card,,,,
Air Eater,Normal Monster,WIND,2100,1600,6
Airknight Parshath,Effect Monster,LIGHT,1900,1400,5
Airorca,Effect Monster,WIND,1400,300,3
Aitsu,Normal Monster,FIRE,100,100,5
Aiza the Dragoness of Deranged Devotion,Effect Monster,FIRE,1500,0,4
Akakieisu,Normal Monster,DARK,1000,800,3
Akihiron,Normal Monster,WATER,1700,1400,5
"Akz, the Pumer",Effect Monster,EARTH,1500,1000,6
Albaz the Ashen,Effect Monster,DARK,1800,0,4
Albion the Shrouded Dragon,Effect Monster,DARK,2500,2000,8
Alchemist of Black Spells,Effect Monster,WIND,1200,1800,4
Alchemy Cycle,Trap Card,,,,
"Alector, Sovereign of Birds",Effect Monster,WIND,2400,2000,6
"Aleirtt, the Ogdoadic Dark",Effect Monster,DARK,2000,800,8
Aleister the Invoker,Effect Monster,DARK,1000,1800,4
ALERT!,Spell Card,,,,
Alexandrite Dragon,Normal Monster,LIGHT,2000,100,4
Alghoul Mazera,Effect Monster,EARTH,2800,2300,8
"Alice, Lady of Lament",Effect Monster,DARK,0,2000,3
"Alich, Malebranche of the Burning Abyss",Effect Monster,DARK,1200,0,3
Alien Brain,Trap Card,,,,
Alien Dog,Effect Monster,LIGHT,1500,1000,3
Alien Hunter,Effect Monster,WATER,1600,800,4
Alien Infiltrator,Effect Monster,EARTH,800,500,2
Alien Kid,Effect Monster,LIGHT,1600,700,4
Alien Mars,Effect Monster,FIRE,1000,1000,3
Alien Mother,Effect Monster,DARK,2300,1500,6
Alien Overlord,Effect Monster,DARK,2200,1600,6
Alien Psychic,Effect Monster,DARK,200,100,1
Alien Shocktrooper,Normal Monster,EARTH,1900,800,4
Alien Skull,Effect Monster,WIND,1600,1800,4
Alien Stealthbuster,Effect Monster,LIGHT,1700,1500,4
Alien Telepath,Effect Monster,FIRE,1600,1000,4
Alien Warrior,Effect Monster,EARTH,1800,1000,4
Alinsection,Normal Monster,EARTH,950,700,3
All-Out Attacks,Trap Card,,,,
Alligator's Sword,Normal Monster,EARTH,1500,1200,4
Allure Dance,Spell Card,,,,
Allure of Darkness,Spell Card,,,,
Allure Palace,Spell Card,,,,
Allure Queen LV3,Effect Monster,DARK,500,500,3
Allure Queen LV5,Effect Monster,DARK,1000,1000,5
Allure Queen LV7,Effect Monster,DARK,1500,1500,7
Alluring Mirror Split,Spell Card,,,,
Ally of Justice Clausolas,Normal Monster,DARK,2300,1200,6
Ally of Justice Core Destroyer,Effect Monster,DARK,1200,200,3
Ally of Justice Cosmic Gateway,Effect Monster,DARK,2400,1200,8
Ally of Justice Enemy Catcher,Effect Monster,DARK,1800,1800,6
Ally of Justice Garadholg,Effect Monster,DARK,1600,400,4
Ally of Justice Nullfier,Effect Monster,DARK,1600,1200,4
Ally of Justice Omni-Weapon,Effect Monster,DARK,2200,800,5
Ally of Justice Quarantine,Effect Monster,DARK,1700,1200,4
Ally of Justice Reverse Break,Effect Monster,DARK,1200,1200,4
Ally of Justice Rudra,Effect Monster,DARK,1900,1200,5
Ally of Justice Searcher,Effect Monster,DARK,1400,100,3
Ally of Justice Thousand Arms,Effect Monster,DARK,1700,0,4
Ally of Justice Thunder Armor,Effect Monster,DARK,2700,2200,8
Ally of Justice Unknown Crusher,Effect Monster,DARK,1200,800,3
Ally of Justice Unlimiter,Effect Monster,DARK,600,200,2
Ally Salvo,Effect Monster,DARK,400,300,2
Aloof Lupine,Effect Monster,DARK,1700,300,4
"Alpacaribou, Mystical Beast of the Forest",Effect Monster,EARTH,2700,2100,7
Alpha Summon,Trap Card,,,,
Alpha The Electromagnet Warrior,Effect Monster,EARTH,1700,1100,3
Alpha The Magnet Warrior,Normal Monster,EARTH,1400,1700,4
"Alpha, the Master of Beasts",Effect Monster,EARTH,3000,2500,8
Altar for Tribute,Trap Card,,,,
Altergeist Camouflage,Trap Card,,,,
Altergeist Emulatelf,Trap Card,,,,
Altergeist Failover,Trap Card,,,,
Altergeist Fijialert,Effect Monster,WATER,1400,1200,4
Altergeist Haunted Rock,Trap Card,,,,
Altergeist Kunquery,Effect Monster,EARTH,0,2400,5
Altergeist Manifestation,Trap Card,,,,
Altergeist Marionetter,Effect Monster,LIGHT,1600,1700,4
Altergeist Meluseek,Effect Monster,WATER,500,300,1
Altergeist Multifaker,Effect Monster,DARK,1200,800,3
Altergeist Peritrator,Effect Monster,FIRE,500,300,1
Altergeist Pixiel,Effect Monster,WIND,100,100,1
Altergeist Pookuery,Effect Monster,DARK,300,100,1
Altergeist Protocol,Trap Card,,,,
Altergeist Revitalization,Trap Card,,,,
Altergeist Silquitous,Effect Monster,WIND,800,1500,2
Altitude Knight,Effect Monster,WIND,1400,1200,4
Aluber the Jester of Despia,Effect Monster,DARK,1800,0,4
Alviss of the Nordic Alfar,Effect Monster,DARK,1500,1000,4
Amabie,Effect Monster,WATER,0,0,3
Amarylease,Effect Monster,EARTH,100,200,1
Amaze Attraction Cyclo-Coaster,Trap Card,,,,
Amaze Attraction Horror House,Trap Card,,,,
Amaze Attraction Majestic Merry-Go-Round,Trap Card,,,,
Amaze Attraction Rapid Racing,Trap Card,,,,
Amaze Attraction Thrill Train,Trap Card,,,,
Amaze Attraction Viking Vortex,Trap Card,,,,
Amaze Attraction Wonder Wheel,Trap Card,,,,
Amazement Abomination Arlekino,Effect Monster,LIGHT,2600,2200,7
Amazement Administrator Arlekino,Effect Monster,DARK,2600,2200,7
Amazement Ambassador Bufo,Effect Monster,EARTH,1600,900,3
Amazement Assistant Delia,Effect Monster,LIGHT,1800,1400,4
Amazement Attendant Comica,Effect Monster,LIGHT,1400,1800,4
Amazement Family Faces,Trap Card,,,,
Amazement Precious Park,Spell Card,,,,
Amazement Special Show,Spell Card,,,,
Amazing Pendulum,Spell Card,,,,
Amazing Time Ticket,Spell Card,,,,
Amazon of the Seas,Normal Monster,WATER,1300,1400,4
Amazoness Archer,Effect Monster,EARTH,1400,1000,4
Amazoness Archers,Trap Card,,,,
Amazoness Baby Tiger,Effect Monster,EARTH,500,500,2
Amazoness Blowpiper,Effect Monster,EARTH,800,1500,3
Amazoness Call,Spell Card,,,,
Amazoness Chain Master,Effect Monster,EARTH,1500,1300,4
Amazoness Fighter,Effect Monster,EARTH,1500,1300,4
Amazoness Fighting Spirit,Spell Card,,,,
Amazoness Hall,Trap Card,,,,
Amazoness Heirloom,Spell Card,,,,
Amazoness Hot Spring,Trap Card,,,,
Amazoness Onslaught,Trap Card,,,,
Amazoness Paladin,Effect Monster,EARTH,1700,300,4
Amazoness Princess,Effect Monster,EARTH,1200,900,3
Amazoness Queen,Effect Monster,EARTH,2400,1800,6
Amazoness Sage,Effect Monster,EARTH,1400,700,4
Amazoness Scouts,Effect Monster,EARTH,500,1100,2
Amazoness Secret Arts,Spell Card,,,,
Amazoness Shamanism,Trap Card,,,,
Amazoness Spellcaster,Spell Card,,,,
Amazoness Spiritualist,Effect Monster,EARTH,800,1800,2
Amazoness Spy,Effect Monster,EARTH,800,1200,3
Amazoness Swords Woman,Effect Monster,EARTH,1500,1600,4
Amazoness Tiger,Effect Monster,EARTH,1100,1500,4
Amazoness Trainee,Effect Monster,EARTH,1500,1300,4
Amazoness Village,Spell Card,,,,
Amazoness War Chief,Effect Monster,EARTH,1900,0,5
Amazoness Willpower,Trap Card,,,,
Ambitious Gofer,Effect Monster,DARK,2400,100,6
Ambulanceroid,Effect Monster,EARTH,300,1200,3
Ambush Fangs,Trap Card,,,,
Ameba,Effect Monster,WATER,300,350,1
Amores of Prophecy,Effect Monster,EARTH,600,2000,3
Amorphage Infection,Spell Card,,,,
Amorphage Lysis,Trap Card,,,,
Amorphous Persona,Spell Card,,,,
Amphibian Beast,Normal Monster,WATER,2400,2000,6
Amphibious Bugroth MK-11,Effect Monster,WATER,1850,1500,5
Amphibious Bugroth MK-3,Effect Monster,WATER,1500,1300,4
Amplifier,Spell Card,,,,
Amulet of Ambition,Spell Card,,,,
"Amunessia, the Ogdoadic Queen",Effect Monster,DARK,2700,2100,8
An Unfortunate Report,Trap Card,,,,
Anarchist Monk Ranshin,Effect Monster,EARTH,1800,100,4
Ancient Brain,Normal Monster,DARK,1000,700,3
Ancient Chant,Spell Card,,,,
Ancient City - Rainbow Ruins,Spell Card,,,,
Ancient Crimson Ape,Effect Monster,LIGHT,2600,1800,7
Ancient Dragon,Effect Monster,LIGHT,1400,1300,4
Ancient Elf,Normal Monster,LIGHT,1450,1200,4
Ancient Forest,Spell Card,,,,
Ancient Gear,Effect Monster,EARTH,100,800,2
Ancient Gear Advance,Spell Card,,,,
Ancient Gear Beast,Effect Monster,EARTH,2000,2000,6
Ancient Gear Box,Effect Monster,EARTH,500,2000,4
Ancient Gear Cannon,Effect Monster,EARTH,500,500,2
Ancient Gear Castle,Spell Card,,,,
Ancient Gear Catapult,Spell Card,,,,
Ancient Gear Commander,Effect Monster,EARTH,500,2000,4
Ancient Gear Dark Golem,Effect Monster,EARTH,3000,3000,8
Ancient Gear Dragon,Effect Monster,EARTH,500,2500,5
Ancient Gear Drill,Spell Card,,,,
Ancient Gear Duel,Trap Card,,,,
Ancient Gear Engineer,Effect Monster,EARTH,1500,1500,5
Ancient Gear Explosive,Spell Card,,,,
Ancient Gear Factory,Spell Card,,,,
Ancient Gear Fist,Spell Card,,,,
Ancient Gear Fortress,Spell Card,,,,
Ancient Gear Frame,Effect Monster,EARTH,1600,500,4
Ancient Gear Fusion,Spell Card,,,,
Ancient Gear Gadget,Effect Monster,EARTH,500,2000,4
Ancient Gear Gadjiltron Chimera,Effect Monster,EARTH,2300,1300,6
Ancient Gear Gadjiltron Dragon,Effect Monster,EARTH,3000,2000,8
Ancient Gear Golem,Effect Monster,EARTH,3000,3000,8
Ancient Gear Golem - Ultimate Pound,Effect Monster,EARTH,3000,3000,8
Ancient Gear Hunting Hound,Effect Monster,EARTH,1000,1000,3
Ancient Gear Hydra,Effect Monster,EARTH,2700,1700,7
Ancient Gear Reactor Dragon,Effect Monster,EARTH,3000,3000,9
Ancient Gear Reborn,Trap Card,,,,
Ancient Gear Soldier,Effect Monster,EARTH,1300,1300,4
Ancient Gear Statue,Effect Monster,EARTH,500,800,2
Ancient Gear Tank,Spell Card,,,,
Ancient Gear Tanker,Effect Monster,EARTH,1300,1300,4
Ancient Gear Workshop,Spell Card,,,,
Ancient Gear Wyvern,Effect Monster,EARTH,1700,1200,4
Ancient Jar,Normal Monster,EARTH,400,200,1
Ancient Lamp,Effect Monster,WIND,900,1400,3
Ancient Leaf,Spell Card,,,,
Ancient Lizard Warrior,Normal Monster,EARTH,1400,1100,4
Ancient One of the Deep Forest,Normal Monster,EARTH,1800,1900,6
Ancient Rules,Spell Card,,,,
Ancient Sorcerer,Normal Monster,DARK,1000,1300,4
Ancient Telescope,Spell Card,,,,
Ancient Tool,Normal Monster,DARK,1700,1400,5
Ancient Tree of Enlightenment,Normal Monster,EARTH,600,1500,3
Ancient Warriors - Ambitious Cao De,Effect Monster,FIRE,3000,2500,8
Ancient Warriors - Deceptive Jia Wen,Effect Monster,FIRE,1100,1800,4
Ancient Warriors - Eccentric Lu Jing,Effect Monster,WATER,700,2000,4
Ancient Warriors - Fearsome Zhang Yuan,Effect Monster,FIRE,2300,2000,6
Ancient Warriors - Graceful Zhou Gong,Effect Monster,WATER,1600,1600,4
Ancient Warriors - Ingenious Zhuge Kong,Effect Monster,WIND,1000,2000,4
Ancient Warriors - Loyal Guan Yun,Effect Monster,WIND,2500,1800,7
Ancient Warriors - Masterful Sun Mou,Effect Monster,WATER,1800,1500,4
Ancient Warriors - Rebellious Lu Feng,Effect Monster,DARK,2800,2200,8
Ancient Warriors - Savage Don Ying,Effect Monster,DARK,2200,1800,6
Ancient Warriors - Valiant Zhang De,Effect Monster,WIND,2700,900,7
Ancient Warriors - Virtuous Liu Xuan,Effect Monster,WIND,1400,1200,4
Ancient Warriors Saga - Borrowing of Arrows,Spell Card,,,,
Ancient Warriors Saga - Chivalrous Path,Trap Card,,,,
Ancient Warriors Saga - Deception and Betrayal,Spell Card,,,,
Ancient Warriors Saga - Defense of Changban,Trap Card,,,,
Ancient Warriors Saga - East-by-South Winds,Spell Card,,,,
Ancient Warriors Saga - Sun-Liu Alliance,Spell Card,,,,
Ancient Warriors Saga - Three Visits,Spell Card,,,,
And the Band Played On,Trap Card,,,,
Andro Sphinx,Effect Monster,LIGHT,3000,2500,10
Anesthrokket Dragon,Effect Monster,DARK,0,2200,1
Angel O1,Effect Monster,LIGHT,200,300,1
Angel O7,Effect Monster,LIGHT,2500,1500,7
Angel of Blue Tears,Spell Card,,,,
Angel Statue - Azurune,Trap Card,,,,
Angelica's Angelic Ring,Spell Card,,,,
Angmarl the Fiendish Monarch,Effect Monster,DARK,2400,1000,6
Animadorned Archosaur,Effect Monster,LIGHT,0,0,1
Ankuriboh,Effect Monster,DARK,300,200,1
Annihilator Archfiend,Effect Monster,DARK,2000,3000,9
Anotherverse Dragon,Normal Monster,LIGHT,2500,2000,8
Anotherverse Gluttonia,Normal Monster,DARK,2500,2000,8
Anotherverse Solaria,Normal Monster,FIRE,2500,2000,8
Ansatsu,Normal Monster,EARTH,1700,1200,5
Ante,Spell Card,,,,
Anteatereatingant,Effect Monster,EARTH,2000,500,5
Anthrosaurus,Normal Monster,EARTH,1000,850,3
Anti Raigeki,Trap Card,,,,
Anti-Aircraft Flower,Effect Monster,EARTH,0,1600,3
Anti-Fusion Device,Trap Card,,,,
Anti-Magic Arrows,Spell Card,,,,
Anti-Magic Prism,Trap Card,,,,
Anti-Spell,Trap Card,,,,
Anti-Spell Fragrance,Trap Card,,,,
Antialian,Effect Monster,EARTH,1900,600,4
Ape Fighter,Effect Monster,DARK,1900,1200,4
Ape Magician,Effect Monster,DARK,800,1200,3
Apex Predation,Trap Card,,,,
Apocatequil,Effect Monster,LIGHT,1800,1200,4
Apophis the Swamp Deity,Trap Card,,,,
Apoqliphort Skybase,Effect Monster,EARTH,2900,2500,9
Apoqliphort Towers,Effect Monster,EARTH,3000,2600,10
Apparition,Trap Card,,,,
Apple Magician Girl,Effect Monster,FIRE,1200,800,3
Apple of Enlightenment,Trap Card,,,,
Appliancer Breakerbuncle,Effect Monster,WATER,0,0,1
Appliancer Conversion,Spell Card,,,,
Appliancer Copybokkle,Effect Monster,DARK,0,0,1
Appliancer Electrilyrical World,Spell Card,,,,
Appliancer Reuse,Spell Card,,,,
Appliancer Socketroll,Effect Monster,DARK,100,100,1
Appliancer Test,Spell Card,,,,
Appointer of the Red Lotus,Trap Card,,,,
Apprentice Illusion Magician,Effect Monster,DARK,2000,1700,6
Apprentice Magician,Effect Monster,DARK,400,800,2
Appropriate,Trap Card,,,,
Aqua Armor Ninja,Effect Monster,WATER,800,1600,4
Aqua Chorus,Trap Card,,,,
Aqua Chorus Round,Spell Card,,,,
Aqua Jet,Spell Card,,,,
Aqua Jet Surface,Spell Card,,,,
Aqua Madoor,Normal Monster,WATER,1200,2000,4
Aqua Snake,Normal Monster,WATER,1050,900,3
Aqua Spirit,Effect Monster,WATER,1600,1200,4
Aqua Story - Urashima,Trap Card,,,,
Aquaactress Arowana,Effect Monster,WATER,2000,2000,6
Aquaactress Guppy,Effect Monster,WATER,600,600,2
Aquaactress Tetra,Effect Monster,WATER,300,300,1
Aquamirror Cycle,Trap Card,,,,
Aquamirror Illusion,Trap Card,,,,
Aquamirror Meditation,Trap Card,,,,
Aquarium Lighting,Spell Card,,,,
Aquarium Set,Spell Card,,,,
Aquarium Stage,Spell Card,,,,
Arbitration of White,Trap Card,,,,
Arcana Call,Trap Card,,,,
Arcana Force 0 - The Fool,Effect Monster,LIGHT,0,0,1
Arcana Force EX - The Dark Ruler,Effect Monster,LIGHT,4000,4000,10
Arcana Force EX - The Light Ruler,Effect Monster,LIGHT,4000,4000,10
Arcana Force I - The Magician,Effect Monster,LIGHT,1100,1100,4
Arcana Force III - The Empress,Effect Monster,LIGHT,1300,1300,4
Arcana Force IV - The Emperor,Effect Monster,LIGHT,1400,1400,4
Arcana Force V - The Hierophant,Effect Monster,LIGHT,1500,1500,4
Arcana Force VI - The Lovers,Effect Monster,LIGHT,1600,1600,4
Arcana Force VII - The Chariot,Effect Monster,LIGHT,1700,1700,4
Arcana Force XIV - Temperance,Effect Monster,LIGHT,2400,2400,6
Arcana Force XIX - The Sun,Effect Monster,LIGHT,2900,2900,7
Arcana Force XV - The Fiend,Effect Monster,LIGHT,2500,2500,7
Arcana Force XVIII - The Moon,Effect Monster,LIGHT,2800,2800,7
Arcana Force XXI - The World,Effect Monster,LIGHT,3100,3100,8
Arcana Reading,Spell Card,,,,
Arcana Spread,Spell Card,,,,
Arcana Triumph Joker,Effect Monster,LIGHT,-1,2500,10
Arcane Archer of the Forest,Effect Monster,EARTH,900,1400,3
Arcane Barrier,Spell Card,,,,
Arcanite Magician/Assault Mode,Effect Monster,LIGHT,900,2300,9
Archfiend Cavalry,Effect Monster,DARK,1900,0,4
Archfiend Commander,Effect Monster,DARK,2500,1200,6
"Archfiend Emperor, the First Lord of Horror",Effect Monster,DARK,3000,2000,8
Archfiend Empress,Effect Monster,DARK,2900,2100,8
Archfiend General,Effect Monster,DARK,2100,800,4
Archfiend Giant,Effect Monster,DARK,2400,1600,6
Archfiend Heiress,Effect Monster,DARK,1000,0,3
Archfiend Interceptor,Effect Monster,DARK,1400,1600,4
Archfiend Marmot of Nefariousness,Normal Monster,EARTH,400,600,2
Archfiend Mirror,Normal Monster,DARK,700,600,2
Archfiend of Gilfer,Effect Monster,DARK,2200,2500,6
Archfiend Palabyrinth,Spell Card,,,,
Archfiend Soldier,Normal Monster,DARK,1900,1500,4
Archfiend's Advent,Effect Monster,DARK,2500,1200,6
Archfiend's Ghastly Glitch,Trap Card,,,,
Archfiend's Oath,Spell Card,,,,
Archfiend's Roar,Trap Card,,,,
Archfiend's Staff of Despair,Spell Card,,,,
Archlord Kristya,Effect Monster,LIGHT,2800,2300,8
Archlord Zerato,Effect Monster,LIGHT,2800,2300,8
Archnemeses Eschatos,Effect Monster,LIGHT,3000,2500,11
Archnemeses Protos,Effect Monster,DARK,2500,3000,11
Arcjet Lightcraft,Effect Monster,LIGHT,0,2100,9
Argostars - Capane the Flying Swallow,Trap Card,,,,
Argostars - Eteo the Dragon Slayer,Trap Card,,,,
Argostars - Glorious Adra,Effect Monster,EARTH,1800,1800,4
Argostars - Home Stadium,Spell Card,,,,
Argostars - Tydel the Purple Lightning,Trap Card,,,,
Aria the Melodious Diva,Effect Monster,LIGHT,1600,1200,4
Ariane the Labrynth Servant,Effect Monster,DARK,1800,1100,4
Arianna the Labrynth Servant,Effect Monster,DARK,1600,2100,4
Arias the Labrynth Butler,Effect Monster,DARK,1500,2500,6
"Ariel, Priestess of the Nekroz",Effect Monster,WATER,1000,1800,4
Arisen Gaia the Fierce Knight,Effect Monster,DARK,2300,2100,7
Arkbrave Dragon,Effect Monster,LIGHT,2400,2000,7
Arlownay,Normal Monster,EARTH,800,1000,3
Arma Knight,Normal Monster,WATER,1000,1200,4
Armageddon Designator,Trap Card,,,,
Armageddon Knight,Effect Monster,DARK,1400,1200,4
Armaill,Normal Monster,EARTH,700,1300,3
Armed Changer,Spell Card,,,,
Armed Dragon Blitz,Spell Card,,,,
Armed Dragon Flash,Spell Card,,,,
Armed Dragon Lightning,Spell Card,,,,
Armed Dragon LV10,Effect Monster,WIND,3000,2000,10
Armed Dragon LV10 White,Effect Monster,LIGHT,3000,2000,10
Armed Dragon LV3,Effect Monster,WIND,1200,900,3
Armed Dragon LV5,Effect Monster,WIND,2400,1700,5
Armed Dragon LV7,Effect Monster,WIND,2800,1000,7
Armed Dragon Thunder LV10,Effect Monster,WIND,3000,2000,10
Armed Dragon Thunder LV3,Effect Monster,WIND,1200,900,3
Armed Dragon Thunder LV5,Effect Monster,WIND,2400,1700,5
Armed Dragon Thunder LV7,Effect Monster,WIND,2800,1000,7
Armed Dragon Thunderbolt,Trap Card,,,,
"Armed Dragon, the Armored Dragon",Effect Monster,WIND,1900,1400,4
Armed Protector Dragon,Effect Monster,LIGHT,2000,2800,8
Armed Rebeellion,Spell Card,,,,
Armed Samurai - Ben Kei,Effect Monster,DARK,500,800,4
Armed Sea Hunter,Effect Monster,WATER,1800,400,4
Armor Blast,Spell Card,,,,
Armor Break,Trap Card,,,,
Armor Dragon Ritual,Spell Card,,,,
Armor Exe,Effect Monster,LIGHT,2400,1400,4
Armor Ninjitsu Art of Alchemy,Spell Card,,,,
Armor Ninjitsu Art of Freezing,Trap Card,,,,
Armor Ninjitsu Art of Rust Mist,Trap Card,,,,
Armored Axon Kicker,Effect Monster,EARTH,2200,1800,6
Armored Bee,Effect Monster,WIND,1600,1200,4
Armored Bitron,Effect Monster,DARK,500,0,2
Armored Glass,Trap Card,,,,
Armored Lizard,Normal Monster,EARTH,1500,1200,4
Armored Rat,Normal Monster,EARTH,950,1100,3
Armored Shark,Effect Monster,WATER,500,2000,3
Armored Starfish,Normal Monster,WATER,850,1400,4
Armored White Bear,Effect Monster,WATER,1800,1400,4
Armored Xyz,Spell Card,,,,
